instancenumber referencemakespan makespan qualityratio
1 18 18 1 
2 19 18 1.05556 
3 21 21 1 
4 24 20 1.2 
5 32 26 1.23077 
6 23 21 1.09524 
7 26 24 1.08333 
8 19 17 1.11765 
9 21 21 1 
10 23 21 1.09524 
11 25 23 1.08696 
12 28 26 1.07692 
13 19 19 1 
14 37 30 1.23333 
15 30 28 1.07143 
16 26 25 1.04 
17 23 21 1.09524 
18 31 30 1.03333 
20 31 31 1 
21 35 34 1.02941 
22 36 35 1.02857 
23 39 35 1.11429 
24 37 31 1.19355 
25 60 58 1.03448 
26 23 21 1.09524 
28 25 23 1.08696 
29 25 23 1.08696 
30 27 26 1.03846 
31 25 23 1.08696 
32 18 17 1.05882 
33 23 22 1.04545 
34 33 30 1.1 
35 26 23 1.13043 
36 26 23 1.13043 
37 30 28 1.07143 
38 31 29 1.06897 
39 33 30 1.1 
40 27 25 1.08 
41 29 26 1.11538 
42 23 22 1.04545 
43 19 19 1 
44 25 24 1.04167 
45 34 33 1.0303 
47 38 37 1.02703 
48 30 27 1.11111 
49 31 28 1.10714 
50 34 32 1.0625 
51 42 42 1 
52 35 31 1.12903 
55 26 25 1.04 
56 27 23 1.17391 
57 31 28 1.10714 
58 31 28 1.10714 
59 37 33 1.12121 
60 26 25 1.04 
61 19 19 1 
62 26 22 1.18182 
63 27 25 1.08 
64 33 33 1 
65 37 36 1.02778 
66 36 35 1.02857 
67 24 22 1.09091 
69 29 25 1.16 
70 37 32 1.15625 
71 36 34 1.05882 
72 26 24 1.08333 
73 34 28 1.21429 
74 55 48 1.14583 
76 42 38 1.10526 
77 47 43 1.09302 
78 30 27 1.11111 
79 40 39 1.02564 
80 47 40 1.175 
81 46 44 1.04545 
83 37 34 1.08824 
84 26 26 1 
85 44 42 1.04762 
87 32 30 1.06667 
88 21 19 1.10526 
89 33 32 1.03125 
90 39 33 1.18182 
91 61 44 1.38636 
92 33 29 1.13793 
95 30 28 1.07143 
96 32 30 1.06667 
99 35 34 1.02941 
102 32 30 1.06667 
103 31 27 1.14815 
105 42 34 1.23529 
107 39 32 1.21875 

90 1.0891
