instancenumber referencemakespan makespan qualityratio
1 4 4 1 
2 7 7 1 
3 5 5 1 
4 4 4 1 
5 6 5 1.2 
6 9 6 1.5 
7 6 5 1.2 
9 6 6 1 
10 7 6 1.16667 
11 5 5 1 
12 6 6 1 
13 5 5 1 
14 7 7 1 
15 7 6 1.16667 
16 9 6 1.5 
17 8 7 1.14286 
18 11 10 1.1 
19 4 4 1 
20 8 7 1.14286 
21 8 8 1 
22 12 10 1.2 
23 9 9 1 
25 4 4 1 
26 9 8 1.125 
27 8 7 1.14286 
28 9 8 1.125 
29 6 5 1.2 
30 7 6 1.16667 
31 6 6 1 
33 6 5 1.2 
34 11 9 1.22222 
35 7 6 1.16667 
37 8 7 1.14286 
38 11 9 1.22222 
41 5 5 1 
43 4 4 1 
45 7 6 1.16667 
47 5 5 1 
49 6 6 1 
50 6 6 1 
51 7 6 1.16667 
53 7 7 1 
55 13 12 1.08333 
57 5 5 1 
58 9 8 1.125 
61 5 5 1 
62 8 7 1.14286 
63 8 6 1.33333 
65 8 6 1.33333 
69 7 7 1 
73 9 9 1 
74 7 7 1 
75 10 8 1.25 
77 7 6 1.16667 
79 10 8 1.25 
81 6 6 1 
82 7 7 1 
85 5 5 1 
86 13 11 1.18182 
87 8 7 1.14286 
89 7 6 1.16667 
93 6 6 1 
97 7 6 1.16667 
101 8 5 1.6 

64 1.11419
