instancenumber referencemakespan makespan qualityratio
4 20 21 0.952381 
5 31 29 1.06897 
6 23 21 1.09524 
7 26 25 1.04 
8 18 17 1.05882 
9 22 21 1.04762 
10 24 21 1.14286 
11 26 25 1.04 
12 28 26 1.07692 
13 19 19 1 
14 36 33 1.09091 
15 31 29 1.06897 
16 26 26 1 
17 22 22 1 
18 31 31 1 
20 32 32 1 
21 36 35 1.02857 
22 37 36 1.02778 
23 39 39 1 
24 37 37 1 
25 59 59 1 
26 24 23 1.04348 
28 24 24 1 
29 25 24 1.04167 
30 26 27 0.962963 
31 26 25 1.04 
32 18 17 1.05882 
33 24 23 1.04348 
34 32 30 1.06667 
35 25 24 1.04167 
36 26 25 1.04 
37 30 29 1.03448 
38 32 31 1.03226 
39 33 31 1.06452 
40 27 26 1.03846 
41 29 28 1.03571 
42 23 23 1 
43 19 19 1 
44 25 25 1 
45 34 34 1 
47 38 37 1.02703 
48 30 30 1 
49 31 29 1.06897 
50 33 32 1.03125 
51 42 42 1 
52 34 33 1.0303 
55 26 25 1.04 
56 26 25 1.04 
57 31 31 1 
58 31 30 1.03333 
59 35 33 1.06061 
60 26 25 1.04 
61 21 19 1.10526 
62 24 24 1 
63 27 26 1.03846 
64 34 33 1.0303 
65 40 37 1.08108 
66 36 36 1 
67 24 23 1.04348 
69 29 27 1.07407 
70 37 35 1.05714 
71 36 35 1.02857 
72 27 26 1.03846 
73 34 31 1.09677 
74 55 50 1.1 
76 41 42 0.97619 
77 47 45 1.04444 
78 32 28 1.14286 
79 40 39 1.02564 
80 48 43 1.11628 
81 46 45 1.02222 
83 39 34 1.14706 
84 26 26 1 
85 44 42 1.04762 
87 31 30 1.03333 
88 21 20 1.05 
89 35 33 1.06061 
90 39 38 1.02632 
91 62 55 1.12727 
92 32 30 1.06667 
95 31 29 1.06897 
96 32 30 1.06667 
99 36 34 1.05882 
102 32 31 1.03226 
103 30 28 1.07143 
105 44 37 1.18919 
107 39 34 1.14706 

87 1.04447
