instancenumber referencemakespan makespan qualityratio
1 102 86 1.18605 
2 104 96 1.08333 
5 86 63 1.36508 
6 106 95 1.11579 
7 137 137 1 
9 112 106 1.0566 
10 101 90 1.12222 
11 134 134 1 
13 96 96 1 
14 131 125 1.048 
17 111 92 1.20652 
18 106 106 1 
21 94 94 1 
22 114 94 1.21277 
25 101 99 1.0202 
26 93 86 1.0814 
27 137 137 1 
30 105 102 1.02941 
33 113 113 1 
34 116 101 1.14851 
37 85 85 1 
38 123 124 0.991935 
41 123 105 1.17143 
42 96 96 1 
46 109 107 1.01869 
47 169 151 1.11921 
49 102 102 1 
50 100 99 1.0101 
53 106 105 1.00952 
54 127 110 1.15455 
55 175 179 0.977654 
57 111 109 1.01835 
58 141 126 1.11905 
61 130 126 1.03175 
62 103 94 1.09574 
65 97 95 1.02105 
66 139 127 1.09449 
69 107 112 0.955357 
70 114 102 1.11765 
73 99 97 1.02062 
74 92 92 1 
76 157 157 1 
78 117 117 1 
81 103 103 1 
82 118 118 1 
83 143 143 1 
85 157 154 1.01948 
88 185 175 1.05714 
89 116 110 1.05455 
92 135 135 1 
93 119 120 0.991667 
94 125 125 1 
102 156 143 1.09091 
106 123 123 1 

54 1.05216
