instancenumber referencemakespan makespan qualityratio
1 4 4 1 
2 7 7 1 
5 6 6 1 
6 9 9 1 
7 6 6 1 
9 6 6 1 
10 8 7 1.14286 
11 5 5 1 
12 7 6 1.16667 
13 5 5 1 
14 7 7 1 
15 7 6 1.16667 
16 9 9 1 
17 8 7 1.14286 
18 11 11 1 
19 4 4 1 
20 9 8 1.125 
21 9 9 1 
22 10 10 1 
23 10 10 1 
25 4 4 1 
26 9 8 1.125 
27 8 7 1.14286 
28 9 9 1 
29 6 6 1 
30 7 6 1.16667 
31 7 6 1.16667 
33 6 6 1 
34 11 11 1 
35 6 6 1 
37 8 8 1 
38 12 10 1.2 
41 6 5 1.2 
43 4 4 1 
45 6 6 1 
47 5 5 1 
49 6 6 1 
50 6 6 1 
51 8 7 1.14286 
53 7 7 1 
55 13 13 1 
57 5 5 1 
58 9 9 1 
61 5 5 1 
62 9 7 1.28571 
63 8 7 1.14286 
65 7 8 0.875 
69 7 7 1 
73 9 9 1 
74 7 7 1 
75 10 9 1.11111 
77 7 7 1 
79 10 9 1.11111 
81 6 6 1 
82 7 7 1 
85 5 5 1 
86 13 12 1.08333 
87 8 8 1 
89 8 6 1.33333 
93 7 6 1.16667 
97 7 7 1 
101 7 6 1.16667 

62 1.05103
